#ObjectID	MJD	Range	Phase angle	RA	DE	dRA	dDE	Length	Beta	A*rho	m_abs	m_app	Luminosity	Shadow	Lon	Lat
#	d	m	deg	deg	deg	arcsec / s	arcsec / s	arcsec	--	m2	mag	mag	W	--	deg	deg
00035	60234.365142882	7.530e+06	1.52575	249.63967	44.90400	300.85863	46.16262	2.11375	0.67408	2.52828	30.05798	30.94375	4.142e+14	False	92.76761	45.01896
00036	60234.365142882	7.529e+06	1.38256	259.06890	48.39189	314.27245	16.20482	2.18535	0.67408	2.52828	30.05798	30.79573	4.142e+14	False	102.17401	48.52638
00037	60234.365142882	7.528e+06	1.24986	269.69811	51.00666	314.61504	-14.95015	2.18729	0.67408	2.52828	30.05798	30.66832	4.142e+14	False	112.78565	51.16287
00038	60234.365142882	7.527e+06	1.12790	281.32355	52.55844	301.80704	-45.03370	2.11909	0.67408	2.52828	30.05798	30.56053	4.142e+14	False	124.40446	52.73908
00039	60234.365142882	7.526e+06	1.01639	293.46366	52.90951	278.82807	-72.06403	1.99993	0.67408	2.52828	30.05798	30.47027	4.142e+14	False	136.55275	53.11629
00040	60234.365142882	7.525e+06	0.91487	305.45889	52.02504	250.49071	-94.82479	1.85999	0.67408	2.52828	30.05798	30.39528	4.142e+14	False	148.56982	52.25730
00041	60234.365142882	7.524e+06	0.82307	316.70279	49.98771	221.54974	-113.00687	1.72713	0.67408	2.52828	30.05798	30.33352	4.142e+14	False	159.84330	50.24217
00042	60234.365142882	7.524e+06	0.74102	326.83022	46.96400	195.29288	-126.98671	1.61770	0.67408	2.52828	30.05798	30.28328	4.142e+14	False	170.00110	47.23536
00043	60234.365142882	7.523e+06	0.66918	335.74653	43.14945	173.26320	-137.46199	1.53590	0.67408	2.52828	30.05798	30.24320	4.142e+14	False	178.94399	43.43116
00044	60234.365142882	7.523e+06	0.60847	343.54051	38.72698	155.76350	-145.16106	1.47860	0.67408	2.52828	30.05798	30.21222	4.142e+14	False	-173.24103	39.01184
00045	60234.365142882	7.523e+06	0.56024	350.38336	33.84871	142.48231	-150.69927	1.44022	0.67408	2.52828	30.05798	30.18952	4.142e+14	False	-166.38277	34.12927
00046	60234.365142882	7.523e+06	0.52604	356.46328	28.63358	132.92120	-154.54146	1.41556	0.67408	2.52828	30.05798	30.17446	4.142e+14	False	-160.29227	28.90247
00047	60234.365142882	7.523e+06	0.50719	1.95456	23.17269	126.61435	-157.01167	1.40071	0.67408	2.52828	30.05798	30.16653	4.142e+14	False	-154.79439	23.42291
00048	60234.365142882	7.523e+06	0.50420	7.00824	17.53631	123.21744	-158.31589	1.39316	0.67408	2.52828	30.05798	30.16530	4.142e+14	False	-149.73732	17.76162
00049	60234.365142882	7.523e+06	0.51645	11.75362	11.77947	122.53509	-158.56219	1.39161	0.67408	2.52828	30.05798	30.17039	4.142e+14	False	-144.99120	11.97468
00050	60234.365142882	7.523e+06	0.54224	16.30242	5.94752	124.52695	-157.77233	1.39580	0.67408	2.52828	30.05798	30.18149	4.142e+14	False	-140.44392	6.10874
00002	60234.365142882	7.523e+06	0.50829	27.91270	5.95717	124.58644	-157.72331	1.39579	0.67408	2.52828	30.05798	30.16699	4.142e+14	False	-128.83102	6.10874
00003	60234.365142882	7.524e+06	0.56270	32.36785	0.09098	129.36060	-155.83623	1.40647	0.67408	2.52828	30.05798	30.19064	4.142e+14	False	-124.38200	0.20430
00004	60234.365142882	7.524e+06	0.62397	36.82122	-5.77532	137.18989	-152.69783	1.42552	0.67408	2.52828	30.05798	30.21988	4.142e+14	False	-119.93655	-5.70099
00005	60234.365142882	7.524e+06	0.69002	41.36710	-11.60547	148.48019	-148.04909	1.45610	0.67408	2.52828	30.05798	30.25445	4.142e+14	False	-115.40039	-11.56934
00006	60234.365142882	7.525e+06	0.75946	46.10553	-17.36073	163.72554	-141.50219	1.50278	0.67408	2.52828	30.05798	30.29415	4.142e+14	False	-110.67361	-17.36073
00007	60234.365142882	7.525e+06	0.83133	51.14754	-22.99612	183.36530	-132.52179	1.57112	0.67408	2.52828	30.05798	30.33883	4.142e+14	False	-105.64534	-23.02917
00008	60234.365142882	7.526e+06	0.90501	56.62131	-28.45711	207.47435	-120.43230	1.66594	0.67408	2.52828	30.05798	30.38836	4.142e+14	False	-100.18755	-28.51956
00009	60234.365142882	7.526e+06	0.98006	62.67679	-33.67447	235.22760	-104.49942	1.78746	0.67408	2.52828	30.05798	30.44264	4.142e+14	False	-94.15038	-33.76265
00010	60234.365142882	7.527e+06	1.05621	69.48649	-38.55809	264.27381	-84.14334	1.92601	0.67408	2.52828	30.05798	30.50157	4.142e+14	False	-87.36106	-38.66887
00011	60234.365142882	7.528e+06	1.13325	77.23738	-42.99067	290.53108	-59.28015	2.05915	0.67408	2.52828	30.05798	30.56506	4.142e+14	False	-79.63172	-43.12202
00012	60234.365142882	7.528e+06	1.21105	86.10117	-46.82225	309.01834	-30.64710	2.15649	0.67408	2.52828	30.05798	30.63302	4.142e+14	False	-70.78850	-46.97363
00013	60234.365142882	7.529e+06	1.28950	96.16982	-49.87172	315.62270	0.13661	2.19182	0.67408	2.52828	30.05798	30.70532	4.142e+14	False	-60.73560	-50.04406
00014	60234.365142882	7.530e+06	1.36854	107.35740	-51.94473	308.77643	30.89225	2.15499	0.67408	2.52828	30.05798	30.78180	4.142e+14	False	-49.55385	-52.13974
00015	60234.365142882	7.531e+06	1.44809	119.31129	-52.87389	290.09949	59.44605	2.05644	0.67408	2.52828	30.05798	30.86221	4.142e+14	False	-37.59171	-53.09280
00016	60234.365142882	7.532e+06	1.52806	131.43544	-52.57300	263.73447	84.19712	1.92256	0.67408	2.52828	30.05798	30.94622	4.142e+14	False	-25.44535	-52.81526
00017	60234.365142882	7.533e+06	1.60833	143.07242	-51.07191	234.65960	104.42862	1.78366	0.67408	2.52828	30.05798	31.03333	4.142e+14	False	-13.77756	-51.33462
00018	60234.365142882	7.533e+06	1.68871	153.73263	-48.50406	206.93131	120.24046	1.66201	0.67408	2.52828	30.05798	31.12286	4.142e+14	False	-3.08527	-48.78241
00019	60234.365142882	7.534e+06	1.76893	163.20190	-45.05700	182.86863	132.22312	1.56711	0.67408	2.52828	30.05798	31.21386	4.142e+14	False	6.41192	-45.34498
00020	60234.365142882	7.535e+06	1.84853	171.49525	-40.92241	163.27596	141.11431	1.49865	0.67408	2.52828	30.05798	31.30504	4.142e+14	False	14.72675	-41.21338
00021	60234.365142882	7.536e+06	1.92682	178.75464	-36.26696	148.06689	147.59070	1.45182	0.67408	2.52828	30.05798	31.39469	4.142e+14	False	22.00119	-36.55394
00022	60234.365142882	7.536e+06	2.00272	185.16474	-31.22397	136.79701	152.18762	1.42106	0.67408	2.52828	30.05798	31.48065	4.142e+14	False	28.42085	-31.49990
00023	60234.365142882	7.537e+06	2.07458	190.90717	-25.89634	128.97147	155.29239	1.40184	0.67408	2.52828	30.05798	31.56022	4.142e+14	False	34.16845	-26.15439
00024	60234.365142882	7.537e+06	2.13995	196.14358	-20.36255	124.18336	157.16420	1.39101	0.67408	2.52828	30.05798	31.63025	4.142e+14	False	39.40659	-20.59637
00025	60234.365142882	7.537e+06	2.19530	201.01227	-14.68369	122.16475	157.95605	1.38671	0.67408	2.52828	30.05798	31.68724	4.142e+14	False	44.27428	-14.88779
00026	60234.365142882	7.537e+06	2.23591	205.63202	-8.90843	122.79937	157.73084	1.38817	0.67408	2.52828	30.05798	31.72741	4.142e+14	False	48.89079	-9.07844
00027	60234.365142882	7.537e+06	2.25615	210.10734	-3.07761	126.12483	156.46828	1.39564	0.67408	2.52828	30.05798	31.74684	4.142e+14	False	53.36093	-3.21053
